number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_max_depth,params_max_features,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,state
86,0.37211168772516734,2026-06-13 23:13:45.883000,2026-06-13 23:13:47.384147,0 days 00:00:01.501147,0.00015065559277282608,gini,15,0.9756531721534336,0.00016035475985202476,16,18,COMPLETE
87,0.34324768089419505,2026-06-13 23:13:47.386076,2026-06-13 23:13:48.903162,0 days 00:00:01.517086,9.3253594489327e-05,entropy,15,0.999212171482405,0.001077364779775866,13,19,COMPLETE
88,0.3600847861861299,2026-06-13 23:13:48.903640,2026-06-13 23:13:51.568185,0 days 00:00:02.664545,0.0006187185209230592,entropy,15,0.9445233243552644,2.2587410304995287e-05,16,18,COMPLETE
89,0.3350137951325148,2026-06-13 23:13:51.568704,2026-06-13 23:13:53.029274,0 days 00:00:01.460570,0.0003419642455735189,entropy,15,0.9745726735022249,0.0014310704392442193,13,20,COMPLETE
90,0.3583211361774721,2026-06-13 23:13:53.030022,2026-06-13 23:13:54.724604,0 days 00:00:01.694582,0.0008012341429438168,entropy,6,0.9999051055349261,0.0005878089474889858,10,16,COMPLETE
91,0.37635140942398204,2026-06-13 23:13:54.726276,2026-06-13 23:13:56.613252,0 days 00:00:01.886976,0.000255494458725338,entropy,14,0.954758494433935,0.00023106585498306587,18,17,COMPLETE
92,0.36540186631121674,2026-06-13 23:13:56.613705,2026-06-13 23:13:58.528542,0 days 00:00:01.914837,0.0004707214222806762,entropy,14,0.9855323889744303,0.00022037023565761309,18,17,COMPLETE
93,0.3546249400397471,2026-06-13 23:13:58.529427,2026-06-13 23:14:00.174205,0 days 00:00:01.644778,0.00011893997802152147,entropy,15,0.9563549112215799,0.0008784258030407607,7,15,COMPLETE
94,0.3626452952545903,2026-06-13 23:14:00.174679,2026-06-13 23:14:01.819333,0 days 00:00:01.644654,0.0002824800956894137,entropy,14,0.9415951628506166,0.0005332920496907003,16,17,COMPLETE
95,0.3414171877705532,2026-06-13 23:14:01.820333,2026-06-13 23:14:03.341377,0 days 00:00:01.521044,8.814497754845324e-06,entropy,15,0.9704353366698137,0.0010989861745082819,18,16,COMPLETE
96,0.36301427990432333,2026-06-13 23:14:03.341862,2026-06-13 23:14:05.146397,0 days 00:00:01.804535,0.0005350062934200654,entropy,13,0.8969979552270617,0.00021110821169272154,15,15,COMPLETE
97,0.35857863403850176,2026-06-13 23:14:05.147045,2026-06-13 23:14:06.806585,0 days 00:00:01.659540,0.00028051081287342854,entropy,14,0.9861450883850988,0.0007649470495912998,17,18,COMPLETE
98,0.2971734667595475,2026-06-13 23:14:06.807066,2026-06-13 23:14:07.910507,0 days 00:00:01.103441,0.004311495509834572,entropy,3,0.9364628281299059,1.3765717615421867e-05,14,14,COMPLETE
99,0.3397125736429233,2026-06-13 23:14:07.910933,2026-06-13 23:14:09.180416,0 days 00:00:01.269483,0.000667578105005068,gini,9,0.9527814501478917,0.0005787643712374281,17,17,COMPLETE
100,0.33484588675031934,2026-06-13 23:14:09.181020,2026-06-13 23:14:10.664881,0 days 00:00:01.483861,0.0003943324843811007,entropy,6,0.9679552861307549,0.0017756371726725113,2,19,COMPLETE
